x_0,x_fit,y_0,y_fit,flux_0,flux_fit,id,group_id,flux_unc,x_0_unc,y_0_unc,iter_detected,removed_from_ensemble,date-obs,inst_mag,inst_mag_unc
349.1071818617442,349.3462645708124,0.4576738164880463,-3.666583444632271,21470.568747064197,308988.5948689559,1,1,7649.724657951903,0.015239703009576229,0.027363035168915358,1,False,2459598.6643225695,-7.53205298670718,3.516311372103138
84.16536636062615,84.52628580450991,1.0189498618048725,0.3377962956814322,5063.259444892313,8370.302395029023,2,2,116.19692015884029,0.026470182754625662,0.03640192615694411,1,False,2459598.6643225695,-3.6140497334289674,1.0298165941105981
512.1145818197556,512.324622591024,0.8820658460158404,-0.38361171463665517,2795.0051157206335,4074.023454380794,3,3,185.84400715651626,0.06077782976851204,0.11978936633646013,1,False,2459598.6643225695,-2.8322556755232315,0.5199317339921772
597.1482424481972,597.4354330913702,1.136217439629776,0.928783508503953,522604.25266355765,611073.2499885458,4,4,1541.4331578460522,0.0051848825638605755,0.006583636993802129,1,False,2459598.6643225695,-8.27243004494093,1.7770086054030352
1285.0794248160328,1285.2728504397328,1.0383994386693463,0.3630086871895096,6505.604412804336,7283.873347493533,5,5,165.84798351060695,0.03749731469039112,0.05315270595364869,1,False,2459598.6643225695,-3.4631028273140334,0.6435276481784945
24.042011053065874,24.062527424364617,3.4171097411540376,3.9864832863838453,-452.86963354809143,713.8558469370637,6,6,88.15727809010541,0.2643320571637319,0.2768885056394961,1,False,2459598.6643225695,-0.9412231657489795,1.3296577052819365
650.8321716435063,650.5493971156262,3.061740777272217,3.1395211063245543,7992.003110640437,7014.695098379607,7,7,86.60087495142258,0.026440930293107585,0.028370750511323293,1,False,2459598.6643225695,-3.422218859890819,1.3489974372218634
1155.1402333341014,1155.252946560215,3.107871795462587,3.2227994444081887,3603.819197972141,2560.7716418235605,8,8,83.23467814025582,0.06818612431941362,0.07263636653921793,1,False,2459598.6643225695,-2.3281239925837767,1.3920423755441067
1311.0,1310.956378535205,2.9454982183492033,3.102261039302914,2329.8521311771874,1716.4901653171985,9,9,79.06659751059453,0.1049850048363699,0.11251295646957872,1,False,2459598.6643225695,-1.8938001618643576,1.447820511512996
613.1053707752653,613.1821482652881,4.12073482630858,4.269609704456589,16369.621912120427,9916.61909688488,10,10,196.34552659331163,0.04361534077085172,0.04335409968468566,1,False,2459598.6643225695,-3.7981059433253055,0.46025060919726457
4.803521192433313,4.663918431806885,5.5546596931800405,5.509793165485394,-545.509929931895,477.8711790856718,11,11,94.54468579254275,0.45367125225963867,0.4675049923140345,1,False,2459598.6643225695,-0.505473959582876,1.2537103296486183
190.14852458630935,190.27426690221358,4.85089248337391,4.579880120213776,-316.77238885084176,333.39992579191033,12,12,81.20579612292268,0.5548665377809171,0.5867842189584186,1,False,2459598.6643225695,-0.11461061026788691,1.4188355657169918
909.0871298879396,909.1254185292056,6.022603124858367,6.059381352525653,14928.77457406174,11193.910128954982,13,13,111.08759627426683,0.021443084175641537,0.023847804297861295,1,False,2459598.6643225695,-3.929651402757956,1.0786392129026814
856.9830417252637,857.1580417749716,7.060124792247188,6.887606711980508,1212.9775292240415,410.69768139558886,14,14,89.00994930607887,0.46497302913222,0.46108379979773645,1,False,2459598.6643225695,-0.34100249080037637,1.3192067525680935
244.94354694321072,244.80317459358136,8.046116581602504,8.103963744956229,11047.269081541908,10215.892684835542,15,15,95.64923671091628,0.02234074247395994,0.023469439988341945,1,False,2459598.6643225695,-3.8303876685366416,1.2410993651240063
279.99340931749896,279.93973708513823,8.015940255351342,8.007386984900146,7903.703372780983,7037.215225262713,16,16,86.01453170194405,0.028172887859429386,0.02906507302416292,1,False,2459598.6643225695,-3.425698947290077,1.3563735637824275
1378.8420560842285,1378.6441818995581,7.8056074882811775,7.603445651825926,24839.19114485086,18999.25521128279,17,17,272.77788961681574,0.03289225410000447,0.03407789278171164,1,False,2459598.6643225695,-4.5040383045342445,0.10328022409765408
98.8273417739109,98.55686037423618,8.822560322066842,8.600428796893818,23580.669018150526,23351.64797272074,18,18,106.53262377264615,0.009900910201677583,0.010770642012468646,1,False,2459598.6643225695,-4.727990700745675,1.1240965785168304
332.6920046529854,332.47312111270696,8.768510917922072,8.99005376029556,1629.4422824346443,856.5431887656401,19,19,80.05667146339614,0.20525912770561489,0.21875387207280403,1,False,2459598.6643225695,-1.1390700280095838,1.4343093133685325
1068.8827559881188,1068.585787625724,8.851933134861522,8.709371612410946,1332.526202785494,421.28664648203653,20,20,79.90890077799298,0.40419349170935154,0.4286604654831883,1,False,2459598.6643225695,-0.3686410969954398,1.4363152453516825
1194.0530264557035,1194.0207808037915,9.06318449010568,9.124040805171976,42193.16607702658,33110.23524224995,21,21,485.1958893330636,0.032880729119692774,0.035376016196661295,1,False,2459598.6643225695,-5.1071025290683405,0.5219896451735289
1088.7900550495594,1088.5440004498603,9.934722998602481,9.686606519611235,3089.866125362447,1338.1799738591515,22,22,78.64864485647479,0.12629373371874955,0.1343794484730283,1,False,2459598.6643225695,-1.6234831789134654,1.4535750268524321
227.26754021423528,227.5161771149499,11.304074581913776,11.215354731494413,-550.077104366998,74.04569048903085,23,23,85.63946830227843,2.47747108011092,2.586532888539381,1,False,2459598.6643225695,1.5190536684237,1.3611182310798937
297.1946036766483,297.4488042398288,11.952468482517764,11.867045324714416,3674.4824696168344,3164.1575437588276,24,24,83.0367015362695,0.05852123697044072,0.0585356920897842,1,False,2459598.6643225695,-2.5578421105381395,1.394627913339506
