x,y
705.0,524.0
705.0,524.0
720.0,463.0
541.0,370.0
542.0,354.0
528.0,342.0
865.0,230.0
880.0,227.0
1087.0,170.0
1079.0,155.0
1368.0,273.0
606.0,154.0
606.0,168.0
619.0,174.0
625.0,176.0
672.0,149.0
279.0,305.0
260.0,322.0
273.0,333.0
18.0,322.0
19.0,278.0
50.0,330.0
372.0,216.0
196.0,71.0
