x_0,x_fit,y_0,y_fit,flux_0,flux_fit,id,group_id,flux_unc,x_0_unc,y_0_unc,iter_detected,removed_from_ensemble,date-obs,true_inst_mag,inst_mag
236.65236092362744,236.043976968632,0.459937570537503,-1.5678001727432942,412.589437971744,7522.214308959258,1,1,1195.9009853512025,0.2051669969430694,0.2210339191602515,1,False,2459598.631602662,-3.4980611191368762,21.501938880863122
406.7834375360686,406.4375571233222,0.5080122523262713,-2.488210877958713,5429.558204929741,24044.75473239811,2,2,1569.08306893882,0.3039054104503184,1.0451945749994358,1,False,2459598.631602662,-4.759747741771224,20.240252258228775
509.3099956697008,509.23568749785375,0.4546694625212639,-1.046380782339286,-929.6043547571504,3056.423694893418,3,3,8803.022822170256,0.0112750211937475,0.0167259738299112,1,False,2459598.631602662,-2.520230757920388,22.479769242079612
1132.789063546127,1132.4326109433696,0.5536476999011555,-1.8830759243923287,504787.3299793969,1874993.2942535796,4,4,2072.957951566588,0.5075754909784649,1.024460831508646,1,False,2459598.631602662,-9.489696160328355,15.510303839671645
4.273264200078293,4.74888850178743,0.6223417629100201,-1.0023417206329164,-2837.8849413482426,3824.5662673270585,5,5,425.6368482913358,0.0498662893019611,0.0469332361299864,1,False,2459598.631602662,-2.7636523387960548,22.236347661203943
790.1587327358566,790.4768103707459,0.93265831493166,-0.8971805434756486,8729.56384353176,18817.826153799902,6,6,721.843451503081,0.1485433458042837,0.2563249146862351,1,False,2459598.631602662,-4.493620493296369,20.50637950670363
1010.0051924518776,1009.9993615541148,0.8562248429362518,-0.1655897399223069,2857.4348396750675,3018.929761729353,7,7,397.9330176774579,0.1210995041874158,0.196152825377626,1,False,2459598.631602662,-2.5068293853675554,22.493170614632444
1038.065687597163,1038.3455434409746,0.9586059515725652,0.051152688247173,4460.640790756562,4179.466105626419,8,8,212.74012095663156,0.1734377501832347,0.3321837555639865,1,False,2459598.631602662,-2.8599988821184774,22.14000111788152
1101.9368898377884,1101.5957115976444,1.2473861154179802,1.1910366737506246,9864.336656362197,10030.421674267023,9,9,197.54554979797769,0.0200734507167146,0.020218818747088,1,False,2459598.631602662,-3.810494840556951,21.189505159443048
1260.9909659433351,1260.9107762255924,1.012835900186753,0.4982778669039578,4231.175274974513,2720.5305785801293,10,10,264.8022807939877,0.0366502127807811,0.0423705774461057,1,False,2459598.631602662,-2.3938308924759157,22.606169107524085
802.9493640042987,802.859950284088,2.1424583118499654,2.350689050837647,21554.731062783576,21699.352862306645,11,11,328.0843491145566,0.1414718780946066,0.1116352329088751,1,False,2459598.631602662,-4.648313818499581,20.35168618150042
273.92628414986734,273.8691741402308,2.847809026770588,2.756745416694533,7377.239100771334,12271.441895255331,12,12,253.4685674476432,0.1549579444508349,0.1819725394162776,1,False,2459598.631602662,-4.029435851591651,20.97056414840835
160.17010409235024,160.19472216456313,3.8431714611630343,3.809080686233291,-571.8237422508287,5184.521628844592,13,13,295.2830860016859,0.0127161967989077,0.0133851552229088,1,False,2459598.631602662,-3.093968589730255,21.906031410269744
305.15552331395486,305.1981056406313,4.033326424418901,3.9767884511798592,-4213.38676856533,600.2666880237476,14,14,378.7821433627888,1.5337767295858171,2.1084570523493693,1,False,2459598.631602662,-0.7530574700126038,24.246942529987397
557.9075338327858,557.8247964371051,5.110974907306122,5.039640223919996,2212.517118565426,3214.4918284132,15,15,343.36885348935414,0.0286082135589602,0.0532135291011896,1,False,2459598.631602662,-2.5749776783889593,22.425022321611042
393.17195007401887,393.2388028052529,5.85772935285058,5.687656778840893,31545.647032908004,31485.454645489277,16,16,931.6243819896658,0.0030759544588044,0.0055918958379106,1,False,2459598.631602662,-5.052471785285697,19.947528214714303
148.27059000565353,147.25678049487547,7.255860452029539,7.9194604476492305,-7296.074371271114,412.77912734937473,17,17,233.37257776983492,0.1323359088922207,0.1232937719573058,1,False,2459598.631602662,-0.34649118463866985,24.65350881536133
1365.92895352905,1365.5905947633405,7.187615310323663,7.418802175361677,13535.922581106182,9981.090291966257,18,18,439.5719278824352,0.0281387813396086,0.0361369245670722,1,False,2459598.631602662,-3.8051418241150827,21.194858175884917
622.1706097807627,622.3235549779291,7.946729771821481,7.853773987685392,374042.9505600161,333609.9723011248,19,19,466.6649444661599,0.0058403361975102,0.0116113475791197,1,False,2459598.631602662,-7.615294423530412,17.38470557646959
755.1583593004,755.1941473249135,8.280567097979109,8.699410018491353,1582.3632783923968,3041.1234511483053,20,20,232.95238943549367,1.8221184911768276,1.5297010897834435,1,False,2459598.631602662,-2.514781988753771,22.48521801124623
873.1962977892817,873.3572315402644,10.0412440092908,10.11193193874358,21956.256828055117,18452.74477440899,21,21,370.0784013539221,0.0306128498662808,0.0323439448095144,1,False,2459598.631602662,-4.472349300511685,20.527650699488316
129.8715614039913,129.6776193147455,10.996794528347577,11.011840708610562,101420.69868043116,97241.24388634044,22,22,887.9377356258059,0.0178983937735607,0.0212382753543961,1,False,2459598.631602662,-6.276823127191373,18.723176872808626
223.0474870816853,222.78619151168343,13.08945055402268,12.980979954115428,-4865.859500641475,358.3875588603573,23,23,345.010379222715,0.0306652439433639,0.0310066834863938,1,False,2459598.631602662,-0.1930791758596788,24.80692082414032
1151.087882463898,1151.356675835388,13.024978327418216,13.191721948678236,20677.60798505276,14243.191460965363,24,24,319.7713614380095,0.0935812176777814,0.1413193324143905,1,False,2459598.631602662,-4.191215143789857,20.808784856210142
