id,group_id,group_size,iter_detected,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,qfit,cfit,flags,removed_from_ensemble,date-obs,AMASS,inst_mag,exposure,ra_fit,dec_fit,match_id,label,match_ra,match_dec,match_mag,check_star,vsx_id,RAJ2000,DEJ2000,separation
11,11,1,1,-0.368133544921875,1328.8381175197733,9.175985221227132,2521.4363479370154,1328.8972427610422,9.247019988197438,2941.651471887986,0.0437662735343155,0.0344869109228906,60.80634452323509,25,0.0782272265693861,-0.0060421116867182,0,False,2459934.736427199,1.14942996252,-3.785871766515147,90.0,87.86833976480024,15.999732700001132,,%,,,,False,%,,,
12,12,1,1,-0.781768798828125,1437.7666865829774,9.230533852884784,6331.783404174794,1437.7981238144112,9.308850787250233,7516.541513830844,0.0392653490723004,0.031764763526045,144.46532035019266,25,0.0747857527884079,0.0048482542469557,0,False,2459934.736427199,1.14942996252,-4.804438877430666,90.0,87.82270384135256,15.999995153349417,,%,,,,False,%,,,
13,13,1,1,4.139251708984375,1162.252491650694,11.071673425951268,68757.40837418291,1162.5899695335115,11.161136659327855,81393.46995027247,0.0341381163801141,0.0290078686678114,1426.2724495641423,25,0.0693592043305985,0.0078677387581252,0,False,2459934.736427199,1.14942996252,-7.390867635482113,90.0,87.93802675021301,15.998504276507438,,%,,,,False,%,,,
14,14,1,1,0.12091064453125,311.4684858994904,12.971268492392534,1552.4278986721863,311.2259933214311,12.972893580114114,2013.124282567331,0.1531193329590083,0.1065948957271131,143.13058089614762,25,0.2693468750044957,-0.002960122993762,0,False,2459934.736427199,1.14942996252,-3.374070194878965,90.0,88.2947882952047,15.995081074467528,,%,,,,False,%,,,
15,15,1,1,0.677032470703125,512.1722853049862,13.304404684497342,1858.9768863192087,512.4086597123882,13.424376281133236,2233.3896422706785,0.0731439731661558,0.0541000536184012,80.16535831562793,25,0.1491199232562755,0.0045314447623228,8,False,2459934.736427199,1.14942996252,-3.4868049706297723,90.0,88.21048163825557,15.995588793830033,,%,,,,False,%,,,
16,16,1,1,4.6163330078125,1149.7980335003906,13.759704676529006,4377.67834408405,1149.8429980409398,13.69063364229512,5058.832143726786,0.0450132718315434,0.0317346343084179,103.7137445638847,25,0.0784850053735022,-0.0006676086800948,8,False,2459934.736427199,1.14942996252,-4.374519399887219,90.0,87.94336102220699,15.997449417891435,,%,,,,False,%,,,
17,17,1,1,-0.7147979736328125,161.04800280044665,14.799977702753774,24292.03422445052,161.19309309904096,14.764038679259505,29487.61943570299,0.0500436471664634,0.0367890244517912,694.7398569336955,25,0.09318775203039,0.0087196260797029,8,False,2459934.736427199,1.14942996252,-6.28849300877564,90.0,88.35765158312572,15.99382398602294,,%,,,,False,%,,,
18,18,1,1,2.730072021484375,222.34384413502443,14.99896047936292,96212.8166433383,222.64519760510436,15.036761919125093,106019.92880378844,0.0449845406397174,0.0344745304235149,2396.87602586818,25,0.0784921404085784,-0.0010069893978079,0,False,2459934.736427199,1.14942996252,-7.677862497016874,90.0,88.33189976724638,15.993935735349044,,%,,,,False,%,,,
19,19,1,1,0.704193115234375,1408.022476146205,15.78387226557,5738.399828557676,1408.1651185453627,15.736711176893206,6781.749184365599,0.0357652928594658,0.0256839688736208,112.25354036510048,25,0.0624480990358713,0.0007861798283282,8,False,2459934.736427199,1.14942996252,-4.692748035974027,90.0,87.83510421099099,15.997328805366173,,%,,,,False,%,,,
20,20,1,1,1.26092529296875,1109.7703520207313,16.881531504482158,1838.3169941411295,1109.6960114185908,16.786690136272853,2283.9029878494266,0.1055052094131515,0.0843116257653862,121.21172755856146,25,0.2185727066801554,0.0108758524107489,8,False,2459934.736427199,1.14942996252,-3.511087858067754,90.0,87.96017564393719,15.996088132848838,,%,,,,False,%,,,
21,21,1,1,-0.7435455322265625,31.93210817397704,17.911800926398815,2420.8775005894317,31.983074827547963,17.921837013887963,3105.800016913752,0.0933670423571598,0.0642162488987973,139.88793678283145,25,0.1871734980115766,0.010503511551203,8,False,2459934.736427199,1.14942996252,-3.8448274463616543,90.0,88.41178280701627,15.99207613934246,,%,,,,False,%,,,
22,22,1,1,0.5867919921875,421.8311306215325,19.08565032097339,10360.65079591708,421.9044158717796,19.152950643814776,12188.16403868696,0.0457574718743738,0.0345508176090439,271.86979235603644,25,0.086665423838929,0.0025987933889299,0,False,2459934.736427199,1.14942996252,-5.329239453138705,90.0,88.24838696823693,15.992975224431676,,%,,,,False,%,,,
23,23,1,1,-1.54693603515625,947.2231259765372,19.796751968539134,4015.398905000175,947.045593058121,20.02608892766564,6743.473344749093,0.5541347943943881,0.4117365615543257,1907.6219025101084,25,0.791627494774483,0.2299221469395515,8,False,2459934.736427199,1.14942996252,-4.686602839369639,90.0,88.0283248162758,15.99430723467002,,%,,,,False,%,,,
24,24,1,1,3.926788330078125,619.8294928121526,20.982608176736115,1601.4462633794724,619.8963935196124,20.90065486770373,1792.5888492179463,0.1516055780532046,0.1034415360406492,128.62968784224557,25,0.292660206526847,0.0132080711299717,8,False,2459934.736427199,1.14942996252,-3.248095452828394,90.0,88.16541345487698,15.992932350166512,,%,,,,False,%,,,
25,25,1,1,1.3639373779296875,1059.70192033155,21.026120116694365,629.4302773646522,1059.9976103156166,21.02710378177949,903.0847086174738,0.5632049048600841,0.4149763341020759,257.634910275214,25,0.956726996230391,0.1868234226021568,8,False,2459934.736427199,1.14942996252,-2.5037149481425933,90.0,87.9809891367512,15.994236920894004,,%,,,,False,%,,,
26,26,1,1,-0.0011138916015625,460.322779133857,22.348125333033146,3258.7414279532304,460.7898014769533,22.423455725531,3915.142456047616,0.0801826418825946,0.059605006512623,148.78494640212546,25,0.139445683543247,0.0076150070546113,8,False,2459934.736427199,1.14942996252,-4.096262648612532,90.0,88.23208079623055,15.991790237852284,,%,,,,False,%,,,
27,27,1,1,0.73553466796875,467.0431435642612,22.86458920609857,1918.5590946975176,467.1730225347205,22.741359628070253,2196.145721340426,0.0771926905010196,0.0565185840948006,79.73376355791443,25,0.1411705004566873,-0.0116298332219592,0,False,2459934.736427199,1.14942996252,-3.4685466103304097,90.0,88.22940484659105,15.991683796582777,,%,,,,False,%,,,
28,28,1,1,-0.1558685302734375,856.0654828731602,23.175261357074017,1347.2439195159268,856.242215064084,23.26549400004971,1748.9989718798065,0.11873395626867,0.089562337772353,93.88905841107986,25,0.2035619826749354,0.0086124715998278,8,False,2459934.736427199,1.14942996252,-3.221367611866449,90.0,88.06636568185804,15.992727290227585,,%,,,,False,%,,,
29,29,1,1,0.87030029296875,980.8576737253512,22.67584124007003,1580.0364569550602,980.9815674338876,22.633540353472167,1809.1242250137984,0.0911700054907598,0.0633599393768591,75.14787624646489,25,0.161151654297464,-0.0020835563521415,0,False,2459934.736427199,1.14942996252,-3.258064699087009,90.0,88.0140958674885,15.99335806737269,,%,,,,False,%,,,
30,30,1,1,3.00384521484375,1359.3534006616917,23.08505645727702,6784.133582627678,1359.7658586490377,23.217458489918982,7980.194973029432,0.0418736946643001,0.0320151255715422,154.5054709646536,25,0.0698583410141904,0.0091803678181581,0,False,2459934.736427199,1.14942996252,-4.869427481932769,90.0,87.85536530556912,15.994187905735862,,%,,,,False,%,,,
31,31,1,1,3.8369140625,276.8570847363283,24.014442382708992,62516.44436720919,276.9402668652107,24.04820063627735,76219.96965479285,0.0498372188986276,0.0358648484376038,1864.420962391776,25,0.0991528009868075,0.0047097170821429,0,False,2459934.736427199,1.14942996252,-7.319565655231541,90.0,88.30911482460218,15.99049926060636,,%,,,,False,%,,,
32,32,1,1,1.5804443359375,540.0660039298959,23.590293340606,7839.62687119576,540.2427148168093,23.55731149860401,9258.631791296217,0.0567112775347646,0.0398036892674205,245.55406177040743,25,0.1009129859098247,0.0033220076601616,0,False,2459934.736427199,1.14942996252,-5.030760758605227,90.0,88.19878276752041,15.991600131190223,,%,,,,False,%,,,
33,33,1,1,-0.839141845703125,671.3504890007782,24.172839812956436,3014.001935570904,671.7843833337562,24.30721250974939,3614.375711063704,0.0564063098948544,0.0441649465912512,96.65150145717928,25,0.0972367345451926,0.0129184302135807,8,False,2459934.736427199,1.14942996252,-4.009476964120041,90.0,88.1436585800864,15.991728196665616,,%,,,,False,%,,,
34,34,1,1,-0.82122802734375,1226.842712734846,23.99840282307718,5992.742316681694,1226.8606400475453,24.03851890419684,7155.690131500286,0.042481353509422,0.030174261001711,148.34081155133222,25,0.0816728745965394,-0.0015213649342681,0,False,2459934.736427199,1.14942996252,-4.751022540665849,90.0,87.91105649726146,15.993496758141779,,%,,,,False,%,,,
35,35,1,1,0.206939697265625,1184.999776262073,25.273315932714677,28758.628244746204,1185.1569357028968,25.380488353390632,33622.49423602087,0.0361943346479372,0.0259059367896937,558.078958638881,25,0.0649391434813768,0.0031220982251862,0,False,2459934.736427199,1.14942996252,-6.430968545915256,90.0,87.9285284069261,15.992840164823553,,%,,,,False,%,,,
36,36,1,1,-0.1948394775390625,566.9008175270225,26.9693278573584,2150.85137318148,567.0700824293062,26.976679607884453,2559.076724109706,0.0681982656124719,0.0500298765354036,89.59262543041126,25,0.1369154892704827,-0.0015911835876833,0,False,2459934.736427199,1.14942996252,-3.6346019932474074,90.0,88.18752922792169,15.990311692388008,,%,,,,False,%,,,
37,37,1,1,0.37518310546875,1034.832091657242,26.732457063693275,262.17483241913897,1034.434419243315,26.69980143448911,623.7409284622445,0.9721166863187112,0.7736312695947792,298.659856519706,25,1.4445379503551292,0.3854832618647945,8,False,2459934.736427199,1.14942996252,-2.1019043324094078,90.0,87.99168414099579,15.991877546164673,,%,,,,False,%,,,
38,38,1,1,2.334320068359375,1080.8139228099778,27.11714449889593,5173.738166622376,1080.8670431965627,27.18281115810735,6096.380204704964,0.0402152210386351,0.030943615562579,118.69430580257462,25,0.0729501656479349,-0.0006591798633649,0,False,2459934.736427199,1.14942996252,-4.577073836984616,90.0,87.97222530713132,15.991817796872576,,%,,,,False,%,,,
39,39,1,1,0.15093994140625,58.787020583864994,29.111545387426663,7769.186406207146,58.81653205146525,29.198699924621145,9431.276352606556,0.0578988219263084,0.0470788625771771,275.6915184902797,25,0.1205768161512816,0.008077939126688,8,False,2459934.736427199,1.14942996252,-5.05081990293859,90.0,88.4004953075045,15.98763393230397,,%,,,,False,%,,,
