id,group_id,group_size,iter_detected,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,qfit,cfit,flags,removed_from_ensemble,date-obs,AMASS,inst_mag,exposure,ra_fit,dec_fit,match_id,label,match_ra,match_dec,match_mag,check_star,vsx_id,RAJ2000,DEJ2000,separation
1,1,1,1,1.0,73.5,2.0273972602739727,53.48822004952468,73.3295083203455,2.3385644289762992,84.86348701112807,0.9243568223893384,0.6522373440432293,34.15775591517296,25,1.2884325341837124,0.0214499843044342,8,False,2459793.5945993057,na,-0.3764240560565174,60.0,249.65654114987026,9.706523778894667,,%,,,,False,%,,,
2,2,1,1,1.0,83.6951219512195,3.0934959349593494,65.91030438164613,83.74563315247326,3.2665489440779893,65.92081568952852,1.1186153465259918,0.8328956762257134,31.486957936373734,25,1.5211181946415395,0.1669969463023628,8,False,2459793.5945993057,na,-0.1021783055052517,60.0,249.65892907195462,9.706723221672664,,%,,,,False,%,,,
3,3,1,1,0.0,362.1538461538461,2.776923076923077,67.87965999528866,361.7223713620058,3.879660317313873,94.35312250335583,1.04051314916847,0.8883588703929278,47.06266154445704,25,1.5482795524253925,0.1280475954296041,8,False,2459793.5945993057,na,-0.4915125670245304,60.0,249.72264678554245,9.706587113803636,,%,,,,False,%,,,
4,4,1,1,0.0,329.3793103448276,3.945083014048532,-4.882013805610967,319.8051274272896,-11.706693747429082,58.62986422320317,0.0,0.0,0.0,25,2.3708054221450814,0.1876176952776683,2,False,2459793.5945993057,na,0.0250809048746491,60.0,249.71302485269968,9.703103987730941,,%,,,,False,%,,,
5,5,1,1,0.0,376.8493150684931,3.684931506849315,-37.67824872775292,378.4313704422013,4.497857042975131,-6.0828028767794695,20.669338887014657,14.014956407794646,46.36002441130539,25,-22.557305789781395,-2.835045385417593,12,False,2459793.5945993057,na,,60.0,249.72647789376856,9.706710586815026,,%,,,,False,%,,,
6,6,1,1,0.0,292.978835978836,5.206349206349207,-12.471650497249922,299.759598177945,-1.2913676378228718,43.80751434309757,67.99748426389176,111.16582695474447,2.580373529884716,25,2.8757814825922376,0.3880612779546704,10,False,2459793.5945993057,na,0.3415065963977093,60.0,249.70843800128793,9.70547855223471,,%,,,,False,%,,,
7,7,1,1,1.0,942.2060367454068,5.904199475065617,71.97270739515945,942.7681924070552,5.651548566523539,103.86693825055596,0.8754242885280104,0.7384046414729996,39.57654185502511,25,1.3497217372764287,0.1069749263571715,8,False,2459793.5945993057,na,-0.5958151986526385,60.0,249.85589520348304,9.706435602951,,%,,,,False,%,,,
8,8,1,1,0.0,403.1136363636364,9.84090909090909,-14.545356658584245,403.8438912936628,9.691374562535852,7.586633606485538,9.45378547437674,8.209276958225761,32.87936379974033,25,12.283430775599683,1.7807192166507002,8,False,2459793.5945993057,na,2.2452553497398458,60.0,249.73230820690975,9.707860014899646,,%,,,,False,%,,,
9,9,1,1,1.0,580.3262987012987,11.64448051948052,274.78517141287915,580.6578991005877,11.31243865893065,345.328301734642,0.1539854764071897,0.1158082805719955,25.37591798970737,25,0.2470146858543164,0.0211581259617212,8,False,2459793.5945993057,na,-1.9002023061836912,60.0,249.77285023695532,9.708055721747375,,%,,,,False,%,,,
10,10,1,1,0.0,449.08069792802615,13.97164667393675,12.065181637865454,449.0158437839554,13.96269201483746,12.27960628803469,6.694647539497594,6.071230964470103,36.832675867159466,25,9.900412363410668,0.981003912361644,8,False,2459793.5945993057,na,1.7224170195478408,60.0,249.7426682372351,9.708781758810057,,%,,,,False,%,,,
